,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
270,SBCF,Seacoast Banking Corporation of Florida,2.08B,-2.72%,421279,529.87M
271,SPNT,SiriusPoint Ltd.,2.07B,-0.41%,622668,2.74B
272,FFBC,First Financial Bancorp.,2.06B,-2.77%,337962,797.09M
273,AGM,Federal Agricultural Mortgage Corporation,2.04B,-3.95%,76461,350.20M
274,AGM.A,Federal Agricultural Mortgage Corporation,2.04B,-,12,350.20M
275,HTH,Hilltop Holdings Inc.,2.02B,-3.58%,247237,1.18B
276,UPST,"Upstart Holdings, Inc.",2.01B,-7.55%,7428875,513.56M
277,TOWN,TowneBank,2.00B,-2.81%,289927,770.52M
278,FRME,First Merchants Corporation,2.00B,-2.85%,342164,647.50M
279,BBAR,BBVA Argentina,1.98B,-3.32%,1202865,972.04M
280,BKU,"BankUnited, Inc.",1.95B,-3.53%,706831,873.04M
281,BRP,"BRP Group, Inc.",1.91B,-3.76%,309670,1.22B
282,BFH,"Bread Financial Holdings, Inc.",1.90B,-2.13%,945708,3.06B
283,TSLX,"Sixth Street Specialty Lending, Inc.",1.90B,-1.53%,375301,438.09M
284,PLMR,"Palomar Holdings, Inc.",1.89B,8.91%,504752,375.93M
285,TBBK,"The Bancorp, Inc.",1.88B,-3.43%,723670,447.82M
286,NAVI,Navient Corporation,1.87B,-2.66%,836641,1.15B
287,DFIN,"Donnelley Financial Solutions, Inc.",1.84B,-1.44%,148668,797.20M
288,IBTX,"Independent Bank Group, Inc.",1.79B,-4.04%,376129,503.86M
289,NWLI,"National Western Life Group, Inc.",1.76B,0.16%,11448,703.35M
290,MBIN,Merchants Bancorp,1.76B,-3.82%,93343,522.51M
291,TFIN,"Triumph Financial, Inc.",1.74B,1.29%,332374,406.05M
292,ENVA,"Enova International, Inc.",1.72B,-3.13%,274275,1.23B
293,VRTS,"Virtus Investment Partners, Inc.",1.71B,-3.20%,83462,845.27M
294,WSBC,"WesBanco, Inc.",1.71B,-2.71%,261428,584.05M
295,LOB,"Live Oak Bancshares, Inc.",1.70B,-1.94%,148742,405.72M
296,OFG,OFG Bancorp,1.70B,-3.08%,318433,628.61M
297,RNST,Renasant Corporation,1.70B,-3.34%,337188,616.81M
298,CLBK,"Columbia Financial, Inc.",1.69B,-2.54%,102597,228.47M
299,GSBD,"Goldman Sachs BDC, Inc.",1.67B,-2.15%,2175038,454.91M
300,BBUC,Brookfield Business Corporation,1.66B,-0.97%,39575,7.68B
301,STC,Stewart Information Services Corporation,1.64B,-1.72%,300123,2.21B
302,CUBI,"Customers Bancorp, Inc.",1.63B,-6.11%,455444,683.40M
303,LKFN,Lakeland Financial Corporation,1.63B,-2.91%,136955,241.04M
304,FBK,FB Financial Corporation,1.62B,-2.74%,136942,475.22M
305,GCMG,GCM Grosvenor Inc,1.62B,0.11%,138402,445.00M
306,NBTB,NBT Bancorp Inc.,1.61B,-2.87%,149211,495.12M
307,TRMK,Trustmark Corporation,1.59B,-2.07%,305762,735.26M
308,BANR,Banner Corporation,1.55B,-2.17%,267594,609.63M
309,OCSL,Oaktree Specialty Lending Corporation,1.51B,-0.26%,774451,398.09M
310,CHCO,City Holding Company,1.50B,-1.86%,55556,286.63M
311,FIHL,Fidelis Insurance Holdings Limited,1.50B,0.27%,786937,3.60B
312,FINV,FinVolution Group,1.50B,-3.18%,1749300,1.70B
313,DWAC,Digital World Acquisition Corp.,1.50B,2.21%,832310,-
314,EFSC,Enterprise Financial Services Corp,1.46B,-3.29%,171181,594.71M
315,HMN,Horace Mann Educators Corporation,1.44B,-0.49%,224787,1.49B
316,SKWD,"Skyward Specialty Insurance Group, Inc.",1.43B,-1.29%,310466,827.04M
317,HTLF,"Heartland Financial USA, Inc.",1.43B,-2.46%,237120,558.60M
318,NWBI,"Northwest Bancshares, Inc.",1.42B,-2.41%,1056009,526.63M
319,FBNC,First Bancorp,1.37B,-2.28%,92341,386.34M
320,NTB,The Bank of N.T. Butterfield & Son Limited,1.37B,-2.04%,177119,578.60M
321,FCF,First Commonwealth Financial Corporation,1.36B,-2.55%,469931,467.47M
322,NMFC,New Mountain Finance Corporation,1.32B,-1.52%,859671,374.84M
323,SYBT,"Stock Yards Bancorp, Inc.",1.30B,-2.70%,81181,325.76M
324,NBHC,National Bank Holdings Corporation,1.30B,-1.98%,137833,417.57M
325,WT,"WisdomTree, Inc.",1.30B,0.58%,1194441,349.04M
326,HOPE,"Hope Bancorp, Inc.",1.28B,-3.98%,690704,542.34M
327,STEL,"Stellar Bancorp, Inc.",1.27B,-1.98%,133203,452.38M
328,WABC,Westamerica Bancorporation,1.26B,-2.11%,146269,324.80M
329,BUSE,First Busey Corporation,1.25B,-3.13%,107692,439.44M
330,SRCE,1st Source Corporation,1.24B,-2.76%,83907,363.40M
331,CASH,"Pathward Financial, Inc.",1.24B,-1.36%,135753,659.96M
332,PWP,Perella Weinberg Partners,1.23B,0.91%,273704,648.65M
333,NIC,"Nicolet Bankshares, Inc.",1.22B,-2.71%,33115,272.50M
334,NRDS,"NerdWallet, Inc.",1.21B,2.16%,490017,599.40M
335,SAFT,"Safety Insurance Group, Inc.",1.20B,-1.40%,53471,930.96M
336,TRUP,"Trupanion, Inc.",1.19B,-6.24%,610108,1.11B
337,STBA,"S&T Bancorp, Inc.",1.19B,-3.10%,158441,389.14M
338,LMND,"Lemonade, Inc.",1.18B,-5.22%,1620954,429.80M
339,TCBK,TriCo Bancshares,1.16B,-3.86%,118069,394.09M
340,HCI,"HCI Group, Inc.",1.15B,-2.62%,189779,550.67M
341,CET,Central Securities Corp.,1.14B,-0.70%,36465,57.37M
342,ECPG,"Encore Capital Group, Inc.",1.13B,-3.08%,168193,1.22B
343,PFS,"Provident Financial Services, Inc.",1.12B,-4.18%,509910,451.38M
344,EIG,"Employers Holdings, Inc.",1.12B,-,131183,850.90M
345,CSWC,Capital Southwest Corporation,1.07B,-2.55%,438228,168.90M
346,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.04B,-0.91%,75447,166.67M
347,BCSF,"Bain Capital Specialty Finance, Inc.",1.03B,-1.44%,424821,297.79M
348,VBTX,"Veritex Holdings, Inc.",1.00B,-4.89%,622445,377.75M
349,CIFR,Cipher Mining Inc.,1.00B,-6.21%,6567529,-
350,SCRM,Screaming Eagle Acquisition Corp.,1.00B,-,458366,-
351,PFBC,Preferred Bank,999.58M,-1.47%,113833,351.76M
352,AMSF,"AMERISAFE, Inc.",997.70M,-2.41%,136857,306.85M
353,BBDC,"Barings BDC, Inc.",997.03M,-2.77%,945099,289.20M
354,PEBO,Peoples Bancorp Inc.,982.45M,-2.85%,101628,411.61M
355,CVII,Churchill Capital Corp VII,976.08M,0.09%,179337,-
356,SASR,"Sandy Spring Bancorp, Inc.",973.40M,-4.52%,499968,439.19M
357,BHLB,"Berkshire Hills Bancorp, Inc.",967.15M,-3.20%,183589,411.83M
