,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
331,HTLD,"Heartland Express, Inc.",958.88M,-1.48%,368183,1.21B
332,ECO,Okeanis Eco Tankers Corp.,956.81M,3.75%,45311,413.10M
333,HRT,HireRight Holdings Corporation,953.72M,0.28%,259765,721.88M
334,BV,"BrightView Holdings, Inc.",939.28M,2.51%,1451380,2.79B
335,ASTE,"Astec Industries, Inc.",918.15M,-0.82%,113189,1.34B
336,TWI,"Titan International, Inc.",908.70M,-2.00%,255408,1.82B
337,FWRD,Forward Air Corporation,908.51M,-3.90%,1252056,1.72B
338,ULH,"Universal Logistics Holdings, Inc.",898.92M,-3.81%,70442,1.73B
339,EH,EHang Holdings Limited,887.77M,-7.41%,1292014,10.52M
340,MATW,Matthews International Corporation,887.63M,-3.98%,148570,1.88B
341,TH,Target Hospitality Corp.,881.40M,3.23%,2464972,563.61M
342,GNK,Genco Shipping & Trading Limited,875.55M,-1.68%,660229,383.83M
343,AZUL,Azul S.A.,875.33M,-1.56%,847901,3.01B
344,PRLB,"Proto Labs, Inc.",874.03M,-3.55%,175693,503.88M
345,KELYB,"Kelly Services, Inc.",869.82M,1.05%,29,4.84B
346,KELYA,"Kelly Services, Inc.",851.72M,-1.33%,194731,4.84B
347,PCT,"PureCycle Technologies, Inc.",850.43M,-2.99%,1143968,-
348,SKYH,Sky Harbour Group Corporation,847.39M,1.72%,36507,5.95M
349,ERII,"Energy Recovery, Inc.",845.90M,-4.39%,347427,128.35M
350,ATSG,"Air Transport Services Group, Inc.",844.67M,-4.67%,509141,2.07B
351,KRNT,Kornit Digital Ltd.,844.13M,-4.51%,263594,219.79M
352,NAT,Nordic American Tankers Limited,839.36M,1.00%,2239656,339.34M
353,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",830.77M,-2.97%,286172,2.85B
354,XMTR,"Xometry, Inc.",821.94M,-3.20%,691106,463.41M
355,NKLA,Nikola Corporation,817.53M,-6.00%,95089003,35.84M
356,BLDP,Ballard Power Systems Inc.,817.11M,-2.15%,4431763,102.37M
357,SPLP,Steel Partners Holdings L.P.,807.95M,1.29%,4920,1.91B
358,RGR,"Sturm, Ruger & Company, Inc.",803.37M,-0.15%,175068,543.77M
359,BBSI,"Barrett Business Services, Inc.",785.54M,-0.73%,30411,1.07B
360,SWBI,"Smith & Wesson Brands, Inc.",774.24M,-1.20%,693902,521.46M
361,CECO,CECO Environmental Corp.,767.94M,-1.09%,175021,544.85M
362,HAYN,"Haynes International, Inc.",761.29M,0.07%,271652,604.64M
363,VVI,Viad Corp,756.04M,-0.92%,90615,1.24B
364,DXPE,"DXP Enterprises, Inc.",754.33M,5.20%,163887,1.68B
